Crime_Type,Latitude,Longitude,Date,Time,Weather,Population_Density
Burglary,8.631187291127270,68.2035211526791,2024-07-25,11:49,Clear,Low
Assault,17.94334673827360,77.96570218773490,2024-03-28,22:36,Stormy,High
Burglary,32.84694203305210,83.19471355773550,2024-05-23,20:23,Rainy,Medium
Robbery,24.94764092702840,78.17017896466680,2024-04-17,02:05,Foggy,Low
Theft,15.908441298780600,79.75661410756980,2024-03-21,13:07,Cloudy,High
Burglary,21.933037542991800,91.77217214216810,2024-08-06,17:50,Foggy,Low
Arson,32.360330758353400,86.03240305523010,2024-07-13,13:49,Foggy,High
Fraud,8.329241530124530,90.00903859651680,2024-08-13,14:31,Cloudy,Medium
Theft,17.79387506302500,79.86996433125460,2024-06-16,15:06,Clear,Medium
Assault,10.183208517985700,84.81570427754910,2024-07-01,19:42,Stormy,Low
Assault,33.49765495917330,91.74255127746970,2024-01-03,06:31,Foggy,Low
Arson,26.093200071873000,89.28476639032440,2024-04-04,22:24,Stormy,Medium
Drug Offense,14.052224626575900,85.89233469065930,2024-09-06,14:07,Rainy,Low
Theft,34.85285646960740,70.68060194093060,2024-10-25,17:54,Foggy,Low
Drug Offense,31.283605898658800,85.76566644319660,2024-06-10,08:47,Cloudy,High
Fraud,24.889530907699600,90.47862441841870,2024-08-05,05:52,Cloudy,Low
Fraud,22.05851255828460,71.04712093922140,2024-08-27,08:48,Foggy,High
Fraud,15.18172765406810,71.68414660035670,2024-05-29,13:28,Foggy,High
Theft,29.4947838639819,90.81886906254270,2024-12-15,12:55,Stormy,Medium
Drug Offense,27.683331300197900,87.74966023936400,2024-05-13,03:34,Cloudy,Medium
Homicide,8.861230497097600,84.62338671460750,2024-04-04,08:05,Foggy,High
Homicide,10.455667305052600,91.49235034487740,2024-04-13,06:46,Stormy,High
Burglary,20.90115293097730,76.72715213205600,2024-10-25,20:49,Foggy,Medium
Vandalism,8.185450584699350,83.9411759496364,2024-02-25,10:53,Cloudy,Medium
Vandalism,15.25338513127750,88.07134105179620,2024-04-03,00:58,Foggy,Medium
Burglary,15.329945470266300,96.60347802938500,2024-11-15,23:13,Foggy,Low
Assault,20.386888332299200,82.99369244695200,2024-03-08,23:41,Rainy,Low
Arson,17.42495547502770,88.89135704381080,2024-09-26,09:35,Cloudy,High
Arson,19.127453958139300,90.6392644930424,2024-07-08,02:54,Cloudy,High
Homicide,23.52827669649690,90.70334189472890,2024-09-08,10:25,Cloudy,Low
Arson,10.52441301183060,68.75393463614960,2024-09-23,04:57,Foggy,Medium
Theft,32.82639367852610,68.75617997506310,2024-06-27,10:48,Rainy,High
Burglary,36.12294619066330,68.80113073297710,2024-06-09,09:43,Clear,Low
Arson,13.805022392975500,80.21987078564810,2024-05-24,15:44,Rainy,Medium
Assault,34.80682799823020,80.27361970099200,2024-08-25,00:53,Clear,High
Fraud,30.337792144433400,88.86631084530950,2024-03-02,18:58,Cloudy,Low
Fraud,10.694372987700300,73.72952628686080,2024-05-05,14:32,Cloudy,Medium
Arson,9.365994809074860,74.53203783996310,2024-11-01,00:28,Cloudy,Medium
Vandalism,26.641648934971300,95.06813103147630,2024-07-26,03:49,Foggy,Low
Fraud,28.510308301684300,94.36386153730480,2024-12-16,22:40,Stormy,Medium
Arson,35.53070879542060,89.95599482415250,2024-12-04,23:28,Stormy,Medium
Vandalism,13.653303886480400,80.41906538441480,2024-01-01,22:43,Stormy,High
Theft,24.73725326841940,79.01193764177920,2024-12-13,00:08,Foggy,High
Drug Offense,8.73827474695974,76.45314303141680,2024-11-28,20:43,Foggy,Medium
Vandalism,25.324209456939000,91.09964333367040,2024-12-27,02:33,Cloudy,Medium
Homicide,20.43631748991860,69.99461092528180,2024-10-02,14:42,Rainy,Medium
Burglary,12.208621064824500,88.35636629469990,2024-08-09,03:50,Clear,Low
Burglary,23.938722912964300,93.58509680510600,2024-07-22,07:42,Cloudy,Low
Homicide,8.421372745748430,75.66819313411290,2024-05-08,20:59,Foggy,Medium
Robbery,10.768361780397000,82.55126055976400,2024-03-08,16:33,Rainy,Low
Drug Offense,34.92856930406420,71.473448946275,2024-02-24,19:31,Rainy,High
Burglary,26.76576224421980,87.97455426979940,2024-08-27,14:15,Foggy,High
Fraud,23.031076962638600,90.50087462731740,2024-06-15,15:00,Stormy,Medium
Assault,24.49512296635680,70.4679056280933,2024-12-29,00:51,Rainy,Medium
Burglary,8.149945831279410,86.17477487413970,2024-03-02,00:18,Clear,Low
Drug Offense,33.60203439129700,83.30124598284730,2024-09-12,01:30,Rainy,Medium
Arson,27.66674681502380,91.31000675344300,2024-08-19,22:26,Stormy,High
Theft,26.29317935428960,72.55446669884500,2024-02-11,20:29,Clear,High
Assault,12.032491575999500,71.50199355946490,2024-12-21,03:50,Rainy,Medium
Assault,36.88300906636510,73.76736229879780,2024-06-18,09:17,Foggy,High
Theft,19.387593668082600,95.56252948812240,2024-03-20,08:53,Rainy,Low
Theft,19.5802820792722,94.44509054621550,2024-03-03,08:24,Clear,High
Drug Offense,16.80155203051520,88.27388220575930,2024-12-04,08:53,Foggy,Medium
Vandalism,34.589287217129600,94.11565538277680,2024-10-03,10:50,Rainy,High
Theft,22.27239371306120,95.73553359508550,2024-04-25,04:45,Cloudy,Medium
Theft,35.097534765382300,75.42319086418080,2024-12-04,02:09,Clear,Low
Vandalism,15.517381998714500,93.59281481071870,2024-03-20,23:56,Cloudy,High
Fraud,19.732618935627200,88.42504781772080,2024-10-17,00:50,Stormy,High
Vandalism,21.912326601083400,79.05400702645840,2024-01-03,22:21,Cloudy,High
Assault,26.734834029733700,74.98693908770220,2024-02-02,08:14,Foggy,High
Assault,20.327934292376400,69.19861167712280,2024-12-21,20:14,Clear,Medium
Arson,11.214509761306300,86.8628911445068,2024-09-09,18:54,Rainy,High
Fraud,17.505152840843200,84.02882697084060,2024-07-28,17:50,Stormy,Low
Fraud,20.90115293097730,76.72715213205600,2024-04-23,08:39,Clear,High
Robbery,17.418813581964900,82.88335504178880,2024-07-30,18:14,Clear,Low
Vandalism,13.012419561550300,94.80111082552880,2024-07-31,19:17,Cloudy,Low
Arson,23.031076962638600,90.50087462731740,2024-11-01,17:10,Stormy,Medium
Burglary,16.280812350256400,83.41726889909960,2024-07-24,11:44,Stormy,Low
Fraud,34.172406630064700,79.10426540627300,2024-12-12,00:21,Clear,Medium
Robbery,20.25135461042490,88.47080232930800,2024-09-18,22:41,Cloudy,Low
Burglary,24.94764092702840,78.17017896466680,2024-08-16,00:40,Cloudy,Low
Vandalism,32.886576365776600,90.15875605013220,2024-01-31,15:00,Clear,High
Vandalism,22.060238755931800,82.09963284272230,2024-12-28,18:33,Cloudy,High
Burglary,23.53398778518930,93.67567834944830,2024-03-23,18:57,Foggy,Low
Theft,12.831286410046300,81.32747599415680,2024-05-23,23:15,Stormy,Low
Fraud,28.109105107508400,89.75542974105610,2024-02-19,02:07,Cloudy,Low
Theft,27.936410403150100,93.87949076574990,2024-02-14,12:20,Stormy,Low
Arson,12.252633928771000,96.60937172839590,2024-05-16,05:05,Rainy,Medium
Theft,33.97471841368110,71.86556991082730,2024-09-04,19:41,Cloudy,High
Arson,22.27239371306120,95.73553359508550,2024-03-07,16:45,Rainy,Low
